name,field,branches,cutoff,category,location,Year
IIT Palakkad,Engineering,Mechanical Engineering,AIR 8600,OBC,Palakkad Kerala,2025
IIT Dharwad,Engineering,Computer Science Engineering,AIR 4700,General,Dharwad Karnataka,2025
IIT Dharwad,Engineering,Electrical Engineering,AIR 9200,OBC,Dharwad Karnataka,2025
NIT Allahabad (MNNIT),Engineering,Computer Science Engineering,AIR 3200,General,Prayagraj Uttar Pradesh,2025
NIT Allahabad (MNNIT),Engineering,Electrical Engineering,AIR 8800,OBC,Prayagraj Uttar Pradesh,2025
NIT Rourkela,Engineering,Computer Science Engineering,AIR 4100,General,Rourkela Odisha,2025
NIT Rourkela,Engineering,Mechanical Engineering,AIR 12000,SC,Rourkela Odisha,2025
NIT Calicut,Engineering,Computer Science Engineering,AIR 5200,General,Kozhikode Kerala,2025
NIT Calicut,Engineering,Electronics & Communication,AIR 9800,OBC,Kozhikode Kerala,2025
NIT Durgapur,Engineering,Computer Science Engineering,AIR 6500,General,Durgapur West Bengal,2025
NIT Durgapur,Engineering,Electrical Engineering,AIR 14500,SC,Durgapur West Bengal,2025
NIT Hamirpur,Engineering,Computer Science Engineering,AIR 18500,General,Hamirpur Himachal Pradesh,2025
NIT Hamirpur,Engineering,Mechanical Engineering,AIR 32000,OBC,Hamirpur Himachal Pradesh,2025
NIT Silchar,Engineering,Computer Science Engineering,AIR 21000,General,Silchar Assam,2025
NIT Silchar,Engineering,Civil Engineering,AIR 38000,ST,Silchar Assam,2025
IIIT Allahabad,Engineering,Information Technology,AIR 3500,General,Prayagraj Uttar Pradesh,2025
IIIT Allahabad,Engineering,Electronics & Communication,AIR 7800,OBC,Prayagraj Uttar Pradesh,2025
IIIT Gwalior,Engineering,Computer Science Engineering,AIR 5200,General,Gwalior Madhya Pradesh,2025
IIIT Gwalior,Engineering,Mechanical Engineering,AIR 14000,OBC,Gwalior Madhya Pradesh,2025
IIIT Kancheepuram,Engineering,Computer Science Engineering,AIR 12500,General,Chennai Tamil Nadu,2025
IIIT Kancheepuram,Engineering,Electronics & Communication,AIR 22000,SC,Chennai Tamil Nadu,2025
Assam University Silchar (GFTI),Engineering,Computer Science Engineering,AIR 45000,General,Silchar Assam,2025
Tezpur University (GFTI),Engineering,Electronics & Communication,AIR 38000,OBC,Tezpur Assam,2025
JNU Delhi (Engineering),Engineering,Computer Science Engineering,AIR 12000,General,New Delhi Delhi,2025
IIT Goa,Engineering,Computer Science Engineering,AIR 5200,General,Ponda Goa,2025
IIT Goa,Engineering,Electrical Engineering,AIR 9800,OBC,Ponda Goa,2025
IIT Jammu,Engineering,Computer Science Engineering,AIR 5600,General,Jammu Jammu & Kashmir,2025
IIT Jammu,Engineering,Mechanical Engineering,AIR 11500,SC,Jammu Jammu & Kashmir,2025
IIT Bhilai,Engineering,Computer Science Engineering,AIR 5900,General,Bhilai Chhattisgarh,2025
IIT Bhilai,Engineering,Electrical Engineering,AIR 10800,OBC,Bhilai Chhattisgarh,2025
IIT Dhanbad (ISM),Engineering,Computer Science Engineering,AIR 2500,General,Dhanbad Jharkhand,2025
IIT Dhanbad (ISM),Engineering,Mining Engineering,AIR 14000,ST,Dhanbad Jharkhand,2025
NIT Jaipur (MNIT),Engineering,Computer Science Engineering,AIR 2900,General,Jaipur Rajasthan,2025
NIT Jaipur (MNIT),Engineering,Mechanical Engineering,AIR 9800,OBC,Jaipur Rajasthan,2025
NIT Bhopal (MANIT),Engineering,Computer Science Engineering,AIR 4100,General,Bhopal Madhya Pradesh,2025
NIT Bhopal (MANIT),Engineering,Electrical Engineering,AIR 10500,SC,Bhopal Madhya Pradesh,2025
NIT Jamshedpur,Engineering,Computer Science Engineering,AIR 9800,General,Jamshedpur Jharkhand,2025
NIT Jamshedpur,Engineering,Mechanical Engineering,AIR 22000,OBC,Jamshedpur Jharkhand,2025
NIT Kurukshetra,Engineering,Computer Science Engineering,AIR 7200,General,Kurukshetra Haryana,2025
NIT Kurukshetra,Engineering,Electrical Engineering,AIR 16000,SC,Kurukshetra Haryana,2025
NIT Meghalaya,Engineering,Computer Science Engineering,AIR 26000,General,Shillong Meghalaya,2025
NIT Meghalaya,Engineering,Civil Engineering,AIR 42000,ST,Shillong Meghalaya,2025
NIT Agartala,Engineering,Computer Science Engineering,AIR 23000,General,Agartala Tripura,2025
NIT Agartala,Engineering,Electrical Engineering,AIR 38000,OBC,Agartala Tripura,2025
IIIT Kota,Engineering,Computer Science Engineering,AIR 9000,General,Kota Rajasthan,2025
IIIT Kota,Engineering,Electronics & Communication,AIR 18000,OBC,Kota Rajasthan,2025
IIIT Una,Engineering,Computer Science Engineering,AIR 15000,General,Una Himachal Pradesh,2025
IIIT Una,Engineering,Information Technology,AIR 26000,SC,Una Himachal Pradesh,2025
IIIT Nagpur,Engineering,Computer Science Engineering,AIR 12500,General,Nagpur Maharashtra,2025
IIIT Nagpur,Engineering,Data Science & AI,AIR 21000,OBC,Nagpur Maharashtra,2025
IIIT Sri City,Engineering,Computer Science Engineering,AIR 13500,General,Sri City Andhra Pradesh,2025
IIIT Sri City,Engineering,Electronics & Communication,AIR 24000,ST,Sri City Andhra Pradesh,2025
IIIT Kottayam,Engineering,Computer Science Engineering,AIR 16000,General,Kottayam Kerala,2025
IIIT Kottayam,Engineering,Electronics & Communication,AIR 28000,OBC,Kottayam Kerala,2025
GFTI BIT Patna,Engineering,Computer Science Engineering,AIR 30000,General,Patna Bihar,2025
GFTI BIT Sindri,Engineering,Mechanical Engineering,AIR 45000,SC,Sindri Jharkhand,2025
Central University of Rajasthan,Engineering,Computer Science Engineering,AIR 38000,General,Ajmer Rajasthan,2025
Central University of Haryana,Engineering,Electrical Engineering,AIR 42000,OBC,Mahendragarh Haryana,2025
IIT Ropar,Engineering,Computer Science Engineering,AIR 3600,General,Rupnagar Punjab,2025
IIT Ropar,Engineering,Mechanical Engineering,AIR 8200,OBC,Rupnagar Punjab,2025
IIT BHU Varanasi,Engineering,Computer Science Engineering,AIR 2200,General,Varanasi Uttar Pradesh,2025
IIT BHU Varanasi,Engineering,Electrical Engineering,AIR 6200,SC,Varanasi Uttar Pradesh,2025
IIT Guwahati,Engineering,Computer Science Engineering,AIR 1800,General,Guwahati Assam,2025
IIT Guwahati,Engineering,Chemical Engineering,AIR 7400,OBC,Guwahati Assam,2025
NIT Srinagar,Engineering,Computer Science Engineering,AIR 14500,General,Srinagar Jammu & Kashmir,2025
NIT Srinagar,Engineering,Electrical Engineering,AIR 32000,ST,Srinagar Jammu & Kashmir,2025
NIT Goa,Engineering,Computer Science Engineering,AIR 13500,General,Ponda Goa,2025
NIT Goa,Engineering,Mechanical Engineering,AIR 28000,OBC,Ponda Goa,2025
NIT Puducherry,Engineering,Computer Science Engineering,AIR 17500,General,Karaikal Puducherry,2025
NIT Puducherry,Engineering,Electronics & Communication,AIR 34000,SC,Karaikal Puducherry,2025
NIT Uttarakhand,Engineering,Computer Science Engineering,AIR 19500,General,Srinagar Uttarakhand,2025
NIT Uttarakhand,Engineering,Civil Engineering,AIR 42000,ST,Srinagar Uttarakhand,2025
NIT Arunachal Pradesh,Engineering,Computer Science Engineering,AIR 26000,General,Yupia Arunachal Pradesh,2025
NIT Arunachal Pradesh,Engineering,Electrical Engineering,AIR 45000,ST,Yupia Arunachal Pradesh,2025
IIIT Pune,Engineering,Computer Science Engineering,AIR 16500,General,Pune Maharashtra,2025
IIIT Pune,Engineering,Electronics & Communication,AIR 29000,OBC,Pune Maharashtra,2025
IIIT Vadodara,Engineering,Computer Science Engineering,AIR 15000,General,Vadodara Gujarat,2025
IIIT Vadodara,Engineering,Electronics & Communication,AIR 27000,SC,Vadodara Gujarat,2025
IIIT Ranchi,Engineering,Computer Science Engineering,AIR 18500,General,Ranchi Jharkhand,2025
IIIT Ranchi,Engineering,Electronics & Communication,AIR 32000,OBC,Ranchi Jharkhand,2025
IIIT Bhagalpur,Engineering,Computer Science Engineering,AIR 21000,General,Bhagalpur Bihar,2025
IIIT Bhagalpur,Engineering,Mechanical Engineering,AIR 39000,ST,Bhagalpur Bihar,2025
GFTI Central University of Karnataka,Engineering,Computer Science Engineering,AIR 34000,General,Kalaburagi Karnataka,2025
GFTI Central University of Karnataka,Engineering,Electrical Engineering,AIR 42000,OBC,Kalaburagi Karnataka,2025
GFTI Mizoram University,Engineering,Computer Science Engineering,AIR 38000,General,Aizawl Mizoram,2025
GFTI Mizoram University,Engineering,Civil Engineering,AIR 48000,ST,Aizawl Mizoram,2025
GFTI Tripura Institute of Technology,Engineering,Computer Science Engineering,AIR 41000,General,Agartala Tripura,2025
GFTI Tripura Institute of Technology,Engineering,Mechanical Engineering,AIR 49000,SC,Agartala Tripura,2025
PEC Chandigarh,Engineering,Computer Science Engineering,AIR 6100,General,Chandigarh Chandigarh,2025
PEC Chandigarh,Engineering,Electrical Engineering,AIR 12500,OBC,Chandigarh Chandigarh,2025
IISER Bhopal (Engineering Sciences),Engineering,Engineering Sciences,AIR 9800,General,Bhopal Madhya Pradesh,2025
IISER Bhopal (Engineering Sciences),Engineering,Engineering Sciences,AIR 18000,OBC,Bhopal Madhya Pradesh,2025
COEP Technological University,Engineering,Computer Science Engineering,99.82 %ile,General,Pune Maharashtra,2025
COEP Technological University,Engineering,Electrical Engineering,98.90 %ile,OBC,Pune Maharashtra,2025
VJTI Mumbai,Engineering,Computer Science Engineering,99.75 %ile,General,Mumbai Maharashtra,2025
VJTI Mumbai,Engineering,Information Technology,99.30 %ile,OBC,Mumbai Maharashtra,2025
VJTI Mumbai,Engineering,Mechanical Engineering,98.10 %ile,SC,Mumbai Maharashtra,2025
PICT Pune,Engineering,Computer Science Engineering,99.45 %ile,General,Pune Maharashtra,2025
PICT Pune,Engineering,Electronics & Telecommunication,98.85 %ile,OBC,Pune Maharashtra,2025
SPIT Mumbai,Engineering,Computer Science Engineering,99.20 %ile,General,Mumbai Maharashtra,2025
SPIT Mumbai,Engineering,Electronics & Telecommunication,98.60 %ile,OBC,Mumbai Maharashtra,2025
Walchand College of Engineering,Engineering,Computer Science Engineering,98.95 %ile,General,Sangli Maharashtra,2025
Walchand College of Engineering,Engineering,Mechanical Engineering,97.40 %ile,OBC,Sangli Maharashtra,2025
VIT Pune,Engineering,Computer Science Engineering,99.10 %ile,General,Pune Maharashtra,2025
VIT Pune,Engineering,Artificial Intelligence & Data Science,98.70 %ile,OBC,Pune Maharashtra,2025
PCCOE Pune,Engineering,Computer Science Engineering,98.30 %ile,General,Pune Maharashtra,2025
PCCOE Pune,Engineering,Mechanical Engineering,96.80 %ile,OBC,Pune Maharashtra,2025
KJ Somaiya College of Engineering,Engineering,Computer Science Engineering,98.50 %ile,General,Mumbai Maharashtra,2025
KJ Somaiya College of Engineering,Engineering,Information Technology,97.90 %ile,OBC,Mumbai Maharashtra,2025
DJ Sanghvi College of Engineering,Engineering,Computer Science Engineering,99.05 %ile,General,Mumbai Maharashtra,2025
DJ Sanghvi College of Engineering,Engineering,Electronics & Telecommunication,98.40 %ile,OBC,Mumbai Maharashtra,2025
Government College of Engineering Amravati,Engineering,Mechanical Engineering,95.60 %ile,SC,Amravati Maharashtra,2025
Government College of Engineering Aurangabad,Engineering,Civil Engineering,93.20 %ile,ST,Aurangabad Maharashtra,2025
Sinhgad College of Engineering,Engineering,Computer Science Engineering,94.50 %ile,General,Pune Maharashtra,2025
Rajarambapu Institute of Technology,Engineering,Mechanical Engineering,92.80 %ile,OBC,Sangli Maharashtra,2025
MIT World Peace University,Engineering,Computer Science Engineering,96.90 %ile,General,Pune Maharashtra,2025
College of Engineering Pune (COEP),Engineering,Mechanical Engineering,98.60 %ile,OBC,Pune Maharashtra,2025
College of Engineering Pune (COEP),Engineering,Civil Engineering,97.40 %ile,SC,Pune Maharashtra,2025
VJTI Mumbai,Engineering,Electronics & Telecommunication,99.00 %ile,General,Mumbai Maharashtra,2025
VJTI Mumbai,Engineering,Electrical Engineering,98.20 %ile,OBC,Mumbai Maharashtra,2025
SPCE Mumbai,Engineering,Mechanical Engineering,97.80 %ile,General,Mumbai Maharashtra,2025
SPCE Mumbai,Engineering,Civil Engineering,96.50 %ile,OBC,Mumbai Maharashtra,2025
ICT Mumbai,Engineering,Chemical Engineering,99.20 %ile,General,Mumbai Maharashtra,2025
ICT Mumbai,Engineering,Pharmaceutical Engineering,98.30 %ile,OBC,Mumbai Maharashtra,2025
Walchand College of Engineering,Engineering,Electronics Engineering,98.10 %ile,General,Sangli Maharashtra,2025
Walchand College of Engineering,Engineering,Civil Engineering,96.20 %ile,SC,Sangli Maharashtra,2025
Government College of Engineering Karad,Engineering,Mechanical Engineering,95.40 %ile,OBC,Karad Maharashtra,2025
Government College of Engineering Karad,Engineering,Civil Engineering,93.10 %ile,ST,Karad Maharashtra,2025
Government College of Engineering Jalgaon,Engineering,Mechanical Engineering,94.60 %ile,General,Jalgaon Maharashtra,2025
Government College of Engineering Jalgaon,Engineering,Electrical Engineering,93.00 %ile,OBC,Jalgaon Maharashtra,2025
Sinhgad Institute of Technology Lonavala,Engineering,Computer Science Engineering,92.40 %ile,General,Lonavala Maharashtra,2025
Sinhgad Institute of Technology Lonavala,Engineering,Mechanical Engineering,90.10 %ile,OBC,Lonavala Maharashtra,2025
AISSMS College of Engineering Pune,Engineering,Computer Science Engineering,97.20 %ile,General,Pune Maharashtra,2025
AISSMS College of Engineering Pune,Engineering,Electronics & Telecommunication,96.00 %ile,OBC,Pune Maharashtra,2025
DY Patil College of Engineering Akurdi,Engineering,Computer Science Engineering,96.50 %ile,General,Pune Maharashtra,2025
DY Patil College of Engineering Akurdi,Engineering,Mechanical Engineering,94.20 %ile,OBC,Pune Maharashtra,2025
Terna Engineering College Navi Mumbai,Engineering,Computer Science Engineering,95.80 %ile,General,Navi Mumbai Maharashtra,2025
Terna Engineering College Navi Mumbai,Engineering,Electronics & Telecommunication,94.30 %ile,OBC,Navi Mumbai Maharashtra,2025
Thadomal Shahani Engineering College,Engineering,Computer Science Engineering,98.40 %ile,General,Mumbai Maharashtra,2025
Thadomal Shahani Engineering College,Engineering,Information Technology,97.60 %ile,OBC,Mumbai Maharashtra,2025
Fr Conceicao Rodrigues College of Engineering,Engineering,Computer Science Engineering,97.90 %ile,General,Mumbai Maharashtra,2025
Fr Conceicao Rodrigues College of Engineering,Engineering,Electronics Engineering,96.80 %ile,OBC,Mumbai Maharashtra,2025
SIES Graduate School of Technology,Engineering,Computer Science Engineering,95.20 %ile,General,Navi Mumbai Maharashtra,2025
SIES Graduate School of Technology,Engineering,Artificial Intelligence & DS,94.10 %ile,OBC,Navi Mumbai Maharashtra,2025
Datta Meghe College of Engineering,Engineering,Computer Science Engineering,94.00 %ile,General,Navi Mumbai Maharashtra,2025
Datta Meghe College of Engineering,Engineering,Information Technology,93.20 %ile,OBC,Navi Mumbai Maharashtra,2025
RCOEM Nagpur,Engineering,Computer Science Engineering,97.50 %ile,General,Nagpur Maharashtra,2025
RCOEM Nagpur,Engineering,Electronics Engineering,96.40 %ile,OBC,Nagpur Maharashtra,2025
Pune Institute of Computer Technology (PICT),Engineering,Information Technology,99.20 %ile,General,Pune Maharashtra,2025
Pune Institute of Computer Technology (PICT),Engineering,Electronics & Telecommunication,98.40 %ile,OBC,Pune Maharashtra,2025
Modern Education Society College of Engineering (MESCOE),Engineering,Computer Science Engineering,96.30 %ile,General,Pune Maharashtra,2025
Modern Education Society College of Engineering (MESCOE),Engineering,Mechanical Engineering,94.10 %ile,OBC,Pune Maharashtra,2025
Bharati Vidyapeeth College of Engineering Pune,Engineering,Computer Science Engineering,95.80 %ile,General,Pune Maharashtra,2025
Bharati Vidyapeeth College of Engineering Pune,Engineering,Electronics & Telecommunication,94.50 %ile,OBC,Pune Maharashtra,2025
Indira College of Engineering Pune,Engineering,Computer Science Engineering,92.60 %ile,General,Pune Maharashtra,2025
Indira College of Engineering Pune,Engineering,Mechanical Engineering,90.20 %ile,OBC,Pune Maharashtra,2025
Lokmanya Tilak College of Engineering (LTCE),Engineering,Computer Science Engineering,97.00 %ile,General,Navi Mumbai Maharashtra,2025
Lokmanya Tilak College of Engineering (LTCE),Engineering,Information Technology,96.10 %ile,OBC,Navi Mumbai Maharashtra,2025
Ramrao Adik Institute of Technology (RAIT),Engineering,Computer Science Engineering,96.80 %ile,General,Navi Mumbai Maharashtra,2025
Ramrao Adik Institute of Technology (RAIT),Engineering,Electronics Engineering,95.60 %ile,OBC,Navi Mumbai Maharashtra,2025
Vivekanand Education Society Institute of Technology (VESIT),Engineering,Computer Science Engineering,97.40 %ile,General,Mumbai Maharashtra,2025
Vivekanand Education Society Institute of Technology (VESIT),Engineering,Information Technology,96.50 %ile,OBC,Mumbai Maharashtra,2025
Atharva College of Engineering,Engineering,Computer Science Engineering,94.80 %ile,General,Mumbai Maharashtra,2025
Atharva College of Engineering,Engineering,Electronics & Telecommunication,93.60 %ile,OBC,Mumbai Maharashtra,2025
Shah & Anchor Kutchhi Engineering College,Engineering,Computer Science Engineering,95.50 %ile,General,Mumbai Maharashtra,2025
Shah & Anchor Kutchhi Engineering College,Engineering,Information Technology,94.40 %ile,OBC,Mumbai Maharashtra,2025
Don Bosco Institute of Technology,Engineering,Computer Science Engineering,94.60 %ile,General,Mumbai Maharashtra,2025
Don Bosco Institute of Technology,Engineering,Mechanical Engineering,92.30 %ile,OBC,Mumbai Maharashtra,2025
Xavier Institute of Engineering,Engineering,Computer Science Engineering,93.90 %ile,General,Mumbai Maharashtra,2025
Xavier Institute of Engineering,Engineering,Electronics Engineering,92.50 %ile,OBC,Mumbai Maharashtra,2025
Pillai College of Engineering,Engineering,Computer Science Engineering,94.20 %ile,General,Navi Mumbai Maharashtra,2025
Pillai College of Engineering,Engineering,Information Technology,93.10 %ile,OBC,Navi Mumbai Maharashtra,2025
KDK College of Engineering Nagpur,Engineering,Computer Science Engineering,92.80 %ile,General,Nagpur Maharashtra,2025
KDK College of Engineering Nagpur,Engineering,Electronics Engineering,91.40 %ile,OBC,Nagpur Maharashtra,2025
Yeshwantrao Chavan College of Engineering (YCCE),Engineering,Computer Technology,96.90 %ile,General,Nagpur Maharashtra,2025
Yeshwantrao Chavan College of Engineering (YCCE),Engineering,Mechanical Engineering,94.00 %ile,OBC,Nagpur Maharashtra,2025
Sipna College of Engineering Amravati,Engineering,Computer Science Engineering,91.50 %ile,General,Amravati Maharashtra,2025
Sipna College of Engineering Amravati,Engineering,Mechanical Engineering,89.20 %ile,OBC,Amravati Maharashtra,2025
Dr Babasaheb Ambedkar Technological University Lonere,Engineering,Computer Science Engineering,96.80 %ile,General,Raigad Maharashtra,2025
Dr Babasaheb Ambedkar Technological University Lonere,Engineering,Mechanical Engineering,94.10 %ile,OBC,Raigad Maharashtra,2025
Sardar Patel Institute of Technology (SPIT),Engineering,Computer Science Engineering,99.10 %ile,General,Mumbai Maharashtra,2025
Sardar Patel Institute of Technology (SPIT),Engineering,Electronics & Telecommunication,98.50 %ile,OBC,Mumbai Maharashtra,2025
KJ Somaiya College of Engineering Mumbai,Engineering,Artificial Intelligence & Data Science,98.20 %ile,General,Mumbai Maharashtra,2025
KJ Somaiya College of Engineering Mumbai,Engineering,Computer Science Engineering,97.40 %ile,OBC,Mumbai Maharashtra,2025
Fr CRCE Bandra,Engineering,Computer Science Engineering,97.10 %ile,General,Mumbai Maharashtra,2025
Fr CRCE Bandra,Engineering,Electronics Engineering,96.00 %ile,OBC,Mumbai Maharashtra,2025
Padmabhushan Vasantdada Patil College of Engineering,Engineering,Computer Science Engineering,95.20 %ile,General,Mumbai Maharashtra,2025
Padmabhushan Vasantdada Patil College of Engineering,Engineering,Information Technology,94.10 %ile,OBC,Mumbai Maharashtra,2025
Vidyalankar Institute of Technology,Engineering,Computer Science Engineering,96.00 %ile,General,Mumbai Maharashtra,2025
Vidyalankar Institute of Technology,Engineering,Electronics & Telecommunication,94.90 %ile,OBC,Mumbai Maharashtra,2025
Agnel Institute of Technology & Design,Engineering,Computer Science Engineering,95.80 %ile,General,Navi Mumbai Maharashtra,2025
Agnel Institute of Technology & Design,Engineering,Mechanical Engineering,93.40 %ile,OBC,Navi Mumbai Maharashtra,2025
Terna Public Charitable Trust College of Engineering,Engineering,Computer Science Engineering,94.90 %ile,General,Navi Mumbai Maharashtra,2025
Terna Public Charitable Trust College of Engineering,Engineering,Electronics Engineering,93.20 %ile,OBC,Navi Mumbai Maharashtra,2025
MIT Academy of Engineering Alandi,Engineering,Computer Science Engineering,97.60 %ile,General,Pune Maharashtra,2025
MIT Academy of Engineering Alandi,Engineering,Mechanical Engineering,95.10 %ile,OBC,Pune Maharashtra,2025
JSPM Rajarshi Shahu College of Engineering,Engineering,Computer Science Engineering,96.40 %ile,General,Pune Maharashtra,2025
JSPM Rajarshi Shahu College of Engineering,Engineering,Information Technology,95.30 %ile,OBC,Pune Maharashtra,2025
JSPM Narhe Technical Campus,Engineering,Computer Science Engineering,94.20 %ile,General,Pune Maharashtra,2025
JSPM Narhe Technical Campus,Engineering,Mechanical Engineering,92.00 %ile,OBC,Pune Maharashtra,2025
Sinhgad College of Engineering Vadgaon,Engineering,Computer Science Engineering,95.10 %ile,General,Pune Maharashtra,2025
Sinhgad College of Engineering Vadgaon,Engineering,Electronics & Telecommunication,93.80 %ile,OBC,Pune Maharashtra,2025
Sinhgad Academy of Engineering Kondhwa,Engineering,Computer Science Engineering,93.60 %ile,General,Pune Maharashtra,2025
Sinhgad Academy of Engineering Kondhwa,Engineering,Mechanical Engineering,91.20 %ile,OBC,Pune Maharashtra,2025
Pimpri Chinchwad College of Engineering Ravet,Engineering,Computer Science Engineering,97.00 %ile,General,Pune Maharashtra,2025
Pimpri Chinchwad College of Engineering Ravet,Engineering,Artificial Intelligence & ML,96.20 %ile,OBC,Pune Maharashtra,2025
Sandip Institute of Engineering Nashik,Engineering,Computer Science Engineering,91.80 %ile,General,Nashik Maharashtra,2025
Sandip Institute of Engineering Nashik,Engineering,Mechanical Engineering,89.50 %ile,OBC,Nashik Maharashtra,2025
MET Institute of Engineering Nashik,Engineering,Computer Science Engineering,92.40 %ile,General,Nashik Maharashtra,2025
MET Institute of Engineering Nashik,Engineering,Electronics Engineering,90.80 %ile,OBC,Nashik Maharashtra,2025
Government College of Engineering Amravati,Engineering,Computer Science Engineering,96.20 %ile,General,Amravati Maharashtra,2025
Government College of Engineering Amravati,Engineering,Mechanical Engineering,94.00 %ile,OBC,Amravati Maharashtra,2025
Government College of Engineering Yavatmal,Engineering,Civil Engineering,91.50 %ile,SC,Yavatmal Maharashtra,2025
Government College of Engineering Chandrapur,Engineering,Electrical Engineering,92.80 %ile,General,Chandrapur Maharashtra,2025
Government College of Engineering Chandrapur,Engineering,Mechanical Engineering,90.20 %ile,OBC,Chandrapur Maharashtra,2025
Shri Ramdeobaba College of Engineering (RCOEM),Engineering,Information Technology,97.10 %ile,General,Nagpur Maharashtra,2025
Shri Ramdeobaba College of Engineering (RCOEM),Engineering,Artificial Intelligence & DS,96.40 %ile,OBC,Nagpur Maharashtra,2025
Priyadarshini College of Engineering Nagpur,Engineering,Computer Science Engineering,92.90 %ile,General,Nagpur Maharashtra,2025
Priyadarshini College of Engineering Nagpur,Engineering,Mechanical Engineering,90.50 %ile,OBC,Nagpur Maharashtra,2025
St Vincent Pallotti College of Engineering,Engineering,Computer Science Engineering,93.80 %ile,General,Nagpur Maharashtra,2025
St Vincent Pallotti College of Engineering,Engineering,Electronics Engineering,92.10 %ile,OBC,Nagpur Maharashtra,2025
G H Raisoni College of Engineering Nagpur,Engineering,Computer Science Engineering,95.40 %ile,General,Nagpur Maharashtra,2025
G H Raisoni College of Engineering Nagpur,Engineering,Mechanical Engineering,93.00 %ile,OBC,Nagpur Maharashtra,2025
G H Raisoni College of Engineering Pune,Engineering,Computer Science Engineering,94.80 %ile,General,Pune Maharashtra,2025
G H Raisoni College of Engineering Pune,Engineering,Electronics & Telecommunication,93.20 %ile,OBC,Pune Maharashtra,2025
